make,aspiration,body_style,curb_weight,num_of_cylinders,engine_size,price
alfa-romero,std,convertible,,4,130,13495
alfa-romero,std,convertible,,4,130,16500
alfa-romero,std,hatchback,,6,152,16500
audi,std,sedan,,4,109,13950
audi,std,sedan,,5,136,17450
audi,std,sedan,,5,136,15250
audi,std,sedan,,5,136,17710
audi,std,wagon,,5,136,18920
audi,turbo,sedan,,5,131,23875
bmw,std,sedan,,4,108,16430
bmw,std,sedan,,4,108,16925
bmw,std,sedan,,6,164,20970
bmw,std,sedan,,6,164,21105
bmw,std,sedan,,6,164,24565
bmw,std,sedan,,6,209,30760
bmw,std,sedan,,6,209,41315
bmw,std,sedan,,6,209,36880
chevrolet,std,hatchback,,3,61,5151
chevrolet,std,hatchback,,4,90,6295
chevrolet,std,sedan,,4,90,6575
dodge,std,hatchback,,4,90,5572
dodge,std,hatchback,,4,90,6377
dodge,turbo,hatchback,,4,98,7957
dodge,std,hatchback,,4,90,6229
dodge,std,sedan,1989,4,90,6692
dodge,std,sedan,1989,4,90,7609
dodge,turbo,sedan,2191,4,98,8558
dodge,std,wagon,2535,4,122,8921
dodge,turbo,hatchback,2811,4,156,12964
honda,std,hatchback,1713,4,92,6479
honda,std,hatchback,1819,4,92,6855
honda,std,hatchback,1837,4,79,5399
honda,std,hatchback,1940,4,92,6529
honda,std,hatchback,1956,4,92,7129
honda,std,sedan,2010,4,92,7295
honda,std,wagon,2024,4,92,7295
honda,std,hatchback,2236,4,110,7895
honda,std,hatchback,2289,4,110,9095
honda,std,sedan,2304,4,110,8845
honda,std,sedan,2372,4,110,10295
honda,std,sedan,2465,4,110,12945
honda,std,sedan,2293,4,110,10345
isuzu,std,sedan,2337,4,111,6785
isuzu,std,hatchback,2734,4,119,11048
jaguar,std,sedan,4066,6,,32250
jaguar,std,sedan,4066,6,,35550
jaguar,std,sedan,3950,12,,36000
mazda,std,hatchback,1890,4,,5195
mazda,std,hatchback,1900,4,,6095
mazda,std,hatchback,1905,4,,6795
mazda,std,sedan,1945,4,,6695
mazda,std,sedan,1950,4,,7395
mazda,std,hatchback,2380,2,,10945
mazda,std,hatchback,2380,2,,11845
mazda,std,hatchback,2385,2,,13645
mazda,std,hatchback,2500,2,,15645
mazda,std,hatchback,2385,4,,8845
mazda,std,sedan,2410,4,,8495
mazda,std,hatchback,2385,4,,10595
mazda,std,sedan,2410,4,,10245
mazda,std,sedan,2443,4,,10795
mazda,std,hatchback,2425,4,,11245
mazda,std,sedan,2670,4,,18280
mazda,std,sedan,2700,4,,18344
mercedes-benz,turbo,sedan,3515,5,,25552
mercedes-benz,turbo,wagon,3750,5,,28248
mercedes-benz,turbo,hardtop,3495,5,,28176
mercedes-benz,turbo,sedan,3770,5,,31600
mercedes-benz,std,sedan,3740,8,,34184
mercedes-benz,std,convertible,3685,8,,35056
mercedes-benz,std,sedan,3900,8,,40960
mercedes-benz,std,hardtop,3715,8,,45400
mercury,turbo,hatchback,2910,4,,16503
mitsubishi,std,hatchback,1918,4,,5389
mitsubishi,std,hatchback,1944,4,,6189
mitsubishi,std,hatchback,2004,4,,6669
mitsubishi,turbo,hatchback,2145,4,,7689
mitsubishi,turbo,hatchback,2370,4,,9959
mitsubishi,std,hatchback,2328,4,,8499
mitsubishi,turbo,hatchback,2833,4,,12629
mitsubishi,turbo,hatchback,2921,4,,14869
mitsubishi,turbo,hatchback,2926,4,,14489
mitsubishi,std,sedan,2365,4,,6989
mitsubishi,std,sedan,2405,4,,8189
mitsubishi,turbo,sedan,2403,4,,9279
mitsubishi,std,sedan,2403,4,,9279
nissan,std,sedan,1889,4,,5499
nissan,std,sedan,2017,4,,7099
nissan,std,sedan,1918,4,,6649
nissan,std,sedan,1938,4,,6849
nissan,std,wagon,2024,4,,7349
nissan,std,sedan,1951,4,,7299
nissan,std,hatchback,2028,4,,7799
nissan,std,sedan,1971,4,,7499
nissan,std,wagon,2037,4,,7999
nissan,std,hardtop,2008,4,,8249
nissan,std,hatchback,2324,4,,8949
nissan,std,sedan,2302,4,,9549
nissan,std,sedan,3095,6,,13499
nissan,std,wagon,3296,6,,14399
nissan,std,sedan,3060,6,,13499
nissan,std,hatchback,3071,6,,17199
nissan,turbo,hatchback,3139,6,,19699
nissan,std,hatchback,3139,6,,18399
peugot,std,sedan,3020,4,,11900
peugot,turbo,sedan,3197,4,,13200
peugot,std,wagon,3230,4,,12440
peugot,turbo,wagon,3430,4,,13860
peugot,std,sedan,3075,4,,15580
peugot,turbo,sedan,3252,4,,16900
peugot,std,wagon,3285,4,,16695
peugot,turbo,wagon,3485,4,,17075
peugot,std,sedan,3075,4,,16630
peugot,turbo,sedan,3252,4,,17950
peugot,turbo,sedan,3130,4,,18150
plymouth,std,hatchback,1918,4,,5572
plymouth,turbo,hatchback,2128,4,,7957
plymouth,std,hatchback,1967,4,,6229
plymouth,std,sedan,1989,4,,6692
plymouth,std,sedan,2191,4,,7609
plymouth,std,wagon,2535,4,,8921
plymouth,turbo,hatchback,2818,4,,12764
porsche,std,hatchback,2778,4,,22018
porsche,std,hardtop,2756,6,,32528
porsche,std,hardtop,2756,6,,34028
porsche,std,convertible,2800,6,,37028
renault,std,wagon,2579,4,,9295
renault,std,hatchback,2460,4,,9895
saab,std,hatchback,2658,4,,11850
saab,std,sedan,2695,4,,12170
saab,std,hatchback,2707,4,,15040
saab,std,sedan,2758,4,,15510
saab,turbo,hatchback,2808,4,,18150
saab,turbo,sedan,2847,4,,18620
subaru,std,hatchback,2050,4,,5118
subaru,std,hatchback,2120,4,,7053
subaru,std,hatchback,2240,4,,7603
subaru,std,sedan,2145,4,,7126
subaru,std,sedan,2190,4,,7775
subaru,std,sedan,2340,4,,9960
subaru,std,sedan,2385,4,,9233
subaru,turbo,sedan,2510,4,,11259
subaru,std,wagon,2290,4,,7463
subaru,std,wagon,2455,4,,10198
subaru,std,wagon,2420,4,,8013
subaru,turbo,wagon,2650,4,,11694
toyota,std,hatchback,1985,4,,5348
toyota,std,hatchback,2040,4,,6338
toyota,std,hatchback,2015,4,,6488
toyota,std,wagon,2280,4,,6918
toyota,std,wagon,2290,4,,7898
toyota,std,wagon,3110,4,,8778
toyota,std,sedan,2081,4,,6938
toyota,std,hatchback,2109,4,,7198
toyota,std,sedan,2275,4,,7898
toyota,std,hatchback,2275,4,,7788
toyota,std,sedan,2094,4,,7738
toyota,std,hatchback,2122,4,,8358
toyota,std,sedan,2140,4,,9258
toyota,std,sedan,2169,4,,8058
toyota,std,hatchback,2204,4,,8238
toyota,std,sedan,2265,4,,9298
toyota,std,hatchback,2300,4,,9538
toyota,std,hardtop,2540,4,,8449
toyota,std,hardtop,2536,4,,9639
toyota,std,hatchback,2551,4,,9989
toyota,std,hardtop,2679,4,,11199
toyota,std,hatchback,2714,4,,11549
toyota,std,convertible,2975,4,,17669
toyota,std,sedan,2326,4,,8948
toyota,turbo,sedan,2480,4,,10698
toyota,std,hatchback,2414,4,,9988
toyota,std,sedan,2414,4,,10898
toyota,std,hatchback,2458,4,,11248
toyota,std,hatchback,2976,6,,16558
toyota,std,hatchback,3016,6,,15998
toyota,std,sedan,3131,6,,15690
toyota,std,wagon,3151,6,,15750
volkswagen,std,sedan,2261,4,,7775
volkswagen,std,sedan,2209,4,,7975
volkswagen,std,sedan,2264,4,,7995
volkswagen,std,sedan,2212,4,,8195
volkswagen,std,sedan,2275,4,,8495
volkswagen,turbo,sedan,2319,4,,9495
volkswagen,std,sedan,2300,4,,9995
volkswagen,std,convertible,2254,4,,11595
volkswagen,std,hatchback,2221,4,,9980
volkswagen,std,sedan,2661,5,,13295
volkswagen,turbo,sedan,2579,4,,13845
volkswagen,std,wagon,2563,4,,12290
volvo,std,sedan,2912,4,,12940
volvo,std,wagon,3034,4,,13415
volvo,std,sedan,2935,4,,15985
volvo,std,wagon,3042,4,,16515
volvo,turbo,sedan,3045,4,,18420
volvo,turbo,wagon,3157,4,,18950
volvo,std,sedan,2952,4,,16845
volvo,turbo,sedan,3049,4,,19045
volvo,std,sedan,3012,6,,21485
volvo,turbo,sedan,3217,6,145,22470
volvo,turbo,sedan,3062,4,141,22625
